wavelength_nm,E_eV,n,k,alpha_cm-1
200,6.199,1.05,0.00,0.00E+00
220,5.636,1.20,0.05,2.85E+04
240,5.166,1.45,0.15,7.85E+04
260,4.769,1.75,0.35,1.69E+05
280,4.428,2.15,0.60,2.69E+05
300,4.133,2.60,0.95,3.98E+05
320,3.874,3.10,1.35,5.30E+05
340,3.647,3.50,1.75,6.46E+05
360,3.444,3.85,2.10,7.33E+05
380,3.263,4.15,2.40,7.93E+05
400,3.100,4.35,2.65,8.32E+05
420,2.952,4.48,2.72,8.13E+05
440,2.818,4.55,2.70,7.71E+05
460,2.695,4.58,2.62,7.15E+05
480,2.583,4.58,2.50,6.54E+05
500,2.480,4.56,2.35,5.90E+05
520,2.384,4.55,2.18,5.27E+05
540,2.296,4.54,2.00,4.65E+05
560,2.214,4.53,1.82,4.08E+05
580,2.138,4.52,1.65,3.57E+05
600,2.066,4.50,1.50,3.14E+05
620,2.000,4.48,1.36,2.76E+05
640,1.937,4.45,1.23,2.41E+05
660,1.878,4.42,1.10,2.09E+05
680,1.823,4.38,0.98,1.81E+05
700,1.771,4.34,0.87,1.56E+05
720,1.722,4.30,0.77,1.34E+05
740,1.675,4.26,0.68,1.15E+05
760,1.631,4.22,0.60,9.92E+04
780,1.589,4.18,0.53,8.53E+04
800,1.550,4.14,0.46,7.22E+04
820,1.512,4.10,0.40,6.13E+04
840,1.476,4.06,0.35,5.23E+04
860,1.442,4.02,0.30,4.38E+04
880,1.409,3.98,0.26,3.71E+04
900,1.378,3.95,0.22,3.07E+04
920,1.348,3.92,0.19,2.59E+04
940,1.319,3.89,0.16,2.14E+04
960,1.291,3.86,0.14,1.83E+04
980,1.265,3.84,0.12,1.54E+04
1000,1.240,3.82,0.10,1.26E+04
1050,1.181,3.78,0.07,8.38E+03
1100,1.127,3.75,0.05,5.71E+03
1150,1.078,3.72,0.03,3.28E+03
1200,1.033,3.70,0.02,2.09E+03
1250,0.992,3.68,0.01,1.01E+03
1300,0.954,3.66,0.005,4.83E+02
1400,0.886,3.62,0.002,1.80E+02
1500,0.827,3.58,0.001,8.38E+01
1600,0.775,3.55,0.0005,3.93E+01
1800,0.689,3.50,0.0002,1.40E+01
2000,0.620,3.45,0.0001,6.28E+00
